# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
CADBPJ010000029.1	cds	2414	2773	-	BBJOLO_00228	137.0	2.7e-41	0.958	0.905	0.632	UniRef:UniRef50_Q8Y445
CADBPJ010000029.1	cds	2794	3342	-	BBJOLO_00229	221.0	3.7e-72	0.989	0.841	0.617	UniRef:UniRef50_B8DNB1
CADBPJ010000029.1	cds	3416	3814	-	BBJOLO_00230	179.0	6.3e-57	1.008	0.847	0.647	UniRef:UniRef50_Q46IS2
CADBPJ010000029.1	cds	3906	4091	-	BBJOLO_00231	92.8	3.7e-25	0.967	0.819	0.729	UniRef:UniRef50_P12878
CADBPJ010000029.1	cds	4123	4662	-	BBJOLO_00232	228.0	2.0e-75	1.0	0.994	0.609	UniRef:UniRef50_A0A9E1ZZ63
CADBPJ010000029.1	cds	4686	5009	-	BBJOLO_00233	117.0	1.8e-33	0.981	0.847	0.543	UniRef:UniRef50_A0LIK1
CADBPJ010000029.1	cds	5028	5396	-	BBJOLO_00234	146.0	2.6e-44	1.049	0.877	0.578	UniRef:UniRef50_Q9RXJ2
CADBPJ010000029.1	cds	5422	5679	-	BBJOLO_00235	103.0	8.9e-29	0.988	0.816	0.643	UniRef:UniRef50_Q9Z7R6
CADBPJ010000029.1	cds	5724	5918	-	BBJOLO_00236	69.3	8.5e-16	0.984	0.863	0.587	UniRef:UniRef50_Q72CH2
CADBPJ010000029.1	cds	5918	6337	-	BBJOLO_00237	169.0	8.2e-53	1.0	0.813	0.633	UniRef:UniRef50_P02415
CADBPJ010000029.1	cds	6337	7116	-	BBJOLO_00238	278.0	1.7e-92	0.865	0.815	0.652	UniRef:UniRef50_P66548
CADBPJ010000029.1	cds	7135	7473	-	BBJOLO_00239	126.0	5.7e-37	0.991	0.867	0.622	UniRef:UniRef50_R4K7P9
CADBPJ010000029.1	cds	7543	7815	-	BBJOLO_00240	117.0	2.8e-34	0.900	0.853	0.667	UniRef:UniRef50_Q5SHP2
CADBPJ010000029.1	cds	7853	8686	-	BBJOLO_00241	373.0	3.9e-129	1.004	0.949	0.669	UniRef:UniRef50_P94270
CADBPJ010000029.1	cds	8738	9040	-	BBJOLO_00242	147.0	6.6e-46	0.980	0.970	0.786	UniRef:UniRef50_A8MLE2
CADBPJ010000029.1	cds	9040	9660	-	BBJOLO_00243	214.0	8.0e-69	1.058	1.0	0.518	UniRef:UniRef50_Q8XHS4
CADBPJ010000029.1	cds	9690	10319	-	BBJOLO_00244	236.0	2.5e-77	0.995	0.885	0.558	UniRef:UniRef50_Q5SHN8
CADBPJ010000029.1	cds	10419	10733	-	BBJOLO_00245	123.0	4.9e-36	0.913	0.905	0.600	UniRef:UniRef50_Q9CDW1
CADBPJ010000029.1	ncRNA-region	10970	11054	-	-	41.4	7.3e-06	-	-	-	RFAM:RF03136
CADBPJ010000029.1	cds	11547	11915	+	BBJOLO_00246	-	-	-	-	-	-
CADBPJ010000029.1	cds	12080	13093	+	BBJOLO_00247	412.0	1.1e-142	0.997	0.941	0.563	UniRef:UniRef50_Q59678
CADBPJ010000029.1	cds	13236	14084	-	BBJOLO_00248	-	-	-	-	-	-
CADBPJ010000029.1	cds	14233	15099	+	BBJOLO_00249	-	-	-	-	-	-
CADBPJ010000029.1	cds	15121	16749	+	BBJOLO_00250	741.0	2.5e-265	0.972	0.883	0.674	UniRef:UniRef50_A0A7V6HI30
CADBPJ010000029.1	cds	16793	17917	-	BBJOLO_00251	470.0	1.5e-164	1.021	0.987	0.615	UniRef:UniRef50_A0A374URJ1
CADBPJ010000029.1	cds	17919	19121	-	BBJOLO_00252	532.0	5.0e-188	1.005	0.950	0.619	UniRef:UniRef50_C9MM94
CADBPJ010000029.1	cds	19126	19983	-	BBJOLO_00253	331.0	3.7e-112	1.084	0.990	0.521	UniRef:UniRef50_A0A3R9DS64
CADBPJ010000029.1	cds	20047	20850	-	BBJOLO_00254	-	-	-	-	-	-
CADBPJ010000029.1	cds	20906	21751	-	BBJOLO_00255	-	-	-	-	-	-
CADBPJ010000029.1	cds	21864	23309	+	BBJOLO_00256	524.0	8.3e-182	0.996	0.911	0.530	UniRef:UniRef50_B7B5P2
CADBPJ010000029.1	cds	23306	25423	+	BBJOLO_00257	-	-	-	-	-	-
CADBPJ010000029.1	cds	25504	27210	-	BBJOLO_00258	719.0	2.1e-255	0.996	0.869	0.583	UniRef:UniRef50_A0A1C5RR44
CADBPJ010000029.1	cds	27754	28827	-	BBJOLO_00259	-	-	-	-	-	-
CADBPJ010000029.1	cds	28833	29777	-	BBJOLO_00260	338.0	2.2e-114	1.0	1.0	0.548	UniRef:UniRef50_A0A0J6WSE7
CADBPJ010000029.1	cds	29777	30472	-	BBJOLO_00261	-	-	-	-	-	-
CADBPJ010000029.1	cds	30474	31211	-	BBJOLO_00262	303.0	2.4e-102	0.988	0.861	0.636	UniRef:UniRef50_A0A0E4CUS2
CADBPJ010000029.1	cds	31213	31425	-	BBJOLO_00263	84.3	1.3e-21	0.943	0.892	0.545	UniRef:UniRef50_A0A645CRD5
CADBPJ010000029.1	cds	31723	32013	+	BBJOLO_00264	-	-	-	-	-	-
CADBPJ010000029.1	cds	32113	34062	+	BBJOLO_00265	634.0	4.3e-220	1.028	0.958	0.516	UniRef:UniRef50_A0A410QD59
CADBPJ010000029.1	cds	34062	37376	+	BBJOLO_00266	1233.0	0.0	1.005	0.897	0.577	UniRef:UniRef50_A0A3E0ILP2
CADBPJ010000029.1	cds	37437	37922	-	BBJOLO_00267	-	-	-	-	-	-
CADBPJ010000029.1	cds	37904	38176	-	BBJOLO_00268	-	-	-	-	-	-
CADBPJ010000029.1	cds	38429	38719	+	BBJOLO_00269	-	-	-	-	-	-
CADBPJ010000029.1	cds	38735	39844	+	BBJOLO_00270	299.0	1.7e-97	0.981	0.958	0.550	UniRef:UniRef50_R8VTV9
CADBPJ010000030.1	cds	527	2593	-	BBJOLO_00271	-	-	-	-	-	-
CADBPJ010000030.1	cds	2625	3107	-	BBJOLO_00272	-	-	-	-	-	-
CADBPJ010000030.1	cds	3094	4056	-	BBJOLO_00273	-	-	-	-	-	-
CADBPJ010000030.1	cds	4053	5549	-	BBJOLO_00274	-	-	-	-	-	-
CADBPJ010000030.1	cds	5515	6204	-	BBJOLO_00275	291.0	1.9e-98	0.974	0.878	0.610	UniRef:UniRef50_A0A6N2TBA9
CADBPJ010000030.1	cds	6411	7928	+	BBJOLO_00276	-	-	-	-	-	-
CADBPJ010000030.1	cds	8075	8641	-	BBJOLO_00277	316.0	1.4e-109	0.995	0.899	0.781	UniRef:UniRef50_A0A1B2I6B8
CADBPJ010000030.1	cds	8774	9178	-	BBJOLO_00278	151.0	2.9e-46	0.888	0.895	0.597	UniRef:UniRef50_S0JEZ1
CADBPJ010000030.1	cds	9345	9719	+	BBJOLO_00279	120.0	4.7e-34	0.944	0.842	0.504	UniRef:UniRef50_W6S0P8
CADBPJ010000030.1	cds	9803	10876	-	BBJOLO_00280	-	-	-	-	-	-
CADBPJ010000030.1	cds	10910	12673	-	BBJOLO_00281	754.0	5.8e-268	1.007	0.842	0.640	UniRef:UniRef50_Q4FMP8
CADBPJ010000030.1	ncRNA-region	12734	12956	-	-	135.2	8.0e-19	-	-	-	RFAM:RF00230
CADBPJ010000030.1	cds	12997	13470	-	BBJOLO_00282	199.0	8.0e-64	1.057	0.834	0.639	UniRef:UniRef50_A0A939XBT9
CADBPJ010000030.1	cds	13472	14200	-	BBJOLO_00283	-	-	-	-	-	-
CADBPJ010000031.1	cds	938	2113	-	BBJOLO_00284	-	-	-	-	-	-
CADBPJ010000031.1	cds	2126	3526	-	BBJOLO_00285	-	-	-	-	-	-
CADBPJ010000031.1	cds	3752	5377	-	BBJOLO_00286	582.0	1.3e-202	0.937	0.830	0.606	UniRef:UniRef50_K0YMZ4
CADBPJ010000031.1	cds	5591	6469	+	BBJOLO_00287	311.0	2.2e-104	0.997	0.980	0.540	UniRef:UniRef50_A0A1C6EIF9
CADBPJ010000031.1	cds	6524	7387	+	BBJOLO_00288	466.0	3.6e-165	1.0	0.889	0.791	UniRef:UniRef50_P13243
CADBPJ010000031.1	cds	7475	8731	+	BBJOLO_00289	-	-	-	-	-	-
CADBPJ010000031.1	cds	8876	9742	+	BBJOLO_00290	-	-	-	-	-	-
CADBPJ010000031.1	cds	9838	11106	+	BBJOLO_00291	474.0	1.8e-164	0.991	0.970	0.550	UniRef:UniRef50_A0A926HY59
CADBPJ010000031.1	cds	11418	12470	-	BBJOLO_00292	-	-	-	-	-	-
CADBPJ010000031.1	cds	12492	13205	-	BBJOLO_00293	-	-	-	-	-	-
CADBPJ010000032.1	cds	69	548	+	BBJOLO_00294	-	-	-	-	-	-
CADBPJ010000032.1	cds	1066	1707	-	BBJOLO_00295	-	-	-	-	-	-
CADBPJ010000032.1	cds	1756	3510	-	BBJOLO_00296	739.0	4.3e-262	1.029	0.856	0.594	UniRef:UniRef50_Q8XI02
CADBPJ010000032.1	ncRNA-region	3576	3801	-	-	93.6	7.9e-13	-	-	-	RFAM:RF00230
CADBPJ010000032.1	cds	3846	4298	-	BBJOLO_00297	142.0	3.8e-42	0.987	0.993	0.500	UniRef:UniRef50_A0A1I2D0F6
CADBPJ010000032.1	cds	4298	4891	-	BBJOLO_00298	-	-	-	-	-	-
CADBPJ010000033.1	cds	123	659	-	BBJOLO_00299	-	-	-	-	-	-
CADBPJ010000033.1	cds	749	1111	-	BBJOLO_00300	-	-	-	-	-	-
CADBPJ010000033.1	cds	1131	1538	-	BBJOLO_00301	-	-	-	-	-	-
CADBPJ010000033.1	cds	1762	2820	-	BBJOLO_00302	-	-	-	-	-	-
CADBPJ010000033.1	cds	2817	3212	-	BBJOLO_00303	-	-	-	-	-	-
CADBPJ010000033.1	cds	3209	3403	-	BBJOLO_00304	75.1	4.1e-18	1.0	0.914	0.594	UniRef:UniRef50_A0A8A0RR87
CADBPJ010000033.1	cds	3418	3909	-	BBJOLO_00305	-	-	-	-	-	-
CADBPJ010000033.1	cds	3903	4826	-	BBJOLO_00306	-	-	-	-	-	-
CADBPJ010000034.1	cds	171	1727	-	BBJOLO_00307	629.0	1.8e-223	0.907	0.977	0.681	UniRef:UniRef50_A0A348N4T2
CADBPJ010000034.1	cds	1753	3198	-	BBJOLO_00308	-	-	-	-	-	-
CADBPJ010000034.1	cds	3204	3599	-	BBJOLO_00309	-	-	-	-	-	-
CADBPJ010000034.1	cds	3586	4395	-	BBJOLO_00310	274.0	1.9e-90	1.007	0.938	0.528	UniRef:UniRef50_A0A1L5KJJ1
CADBPJ010000034.1	cds	4395	5465	-	BBJOLO_00311	385.0	8.2e-131	1.101	0.956	0.523	UniRef:UniRef50_A0A143XNE5
CADBPJ010000034.1	cds	5557	6456	-	BBJOLO_00312	336.0	1.1e-113	0.990	0.908	0.561	UniRef:UniRef50_B9MS18
CADBPJ010000034.1	cds	6462	6935	-	BBJOLO_00313	-	-	-	-	-	-
CADBPJ010000034.1	cds	6946	8025	-	BBJOLO_00314	-	-	-	-	-	-
CADBPJ010000034.1	cds	8046	9056	-	BBJOLO_00315	448.0	1.3e-156	0.994	0.877	0.656	UniRef:UniRef50_Q18CP0
CADBPJ010000034.1	cds	9053	9484	-	BBJOLO_00316	-	-	-	-	-	-
CADBPJ010000034.1	cds	9459	9920	-	BBJOLO_00317	-	-	-	-	-	-
CADBPJ010000034.1	cds	9952	10980	-	BBJOLO_00318	322.0	6.0e-107	0.977	0.905	0.506	UniRef:UniRef50_W8T4E5
CADBPJ010000034.1	cds	10961	12412	-	BBJOLO_00319	613.0	7.9e-217	0.977	0.866	0.631	UniRef:UniRef50_C7GF02
CADBPJ010000034.1	cds	12551	14614	-	BBJOLO_00320	-	-	-	-	-	-
CADBPJ010000034.1	cds	14707	15132	-	BBJOLO_00321	-	-	-	-	-	-
CADBPJ010000034.1	cds	15151	15465	-	BBJOLO_00322	-	-	-	-	-	-
CADBPJ010000034.1	cds	15446	15871	-	BBJOLO_00323	-	-	-	-	-	-
CADBPJ010000034.1	cds	15868	16143	-	BBJOLO_00324	-	-	-	-	-	-
CADBPJ010000034.1	cds	16206	16445	-	BBJOLO_00325	82.4	1.5e-20	0.962	0.874	0.553	UniRef:UniRef50_R8VXL6
CADBPJ010000034.1	cds	16563	16838	-	BBJOLO_00326	110.0	2.6e-31	0.989	0.811	0.633	UniRef:UniRef50_A0A4P7L0U8
CADBPJ010000034.1	cds	16970	17794	-	BBJOLO_00327	251.0	9.6e-81	0.978	0.812	0.507	UniRef:UniRef50_A0A971I8P9
CADBPJ010000034.1	cds	17851	18579	-	BBJOLO_00328	254.0	1.5e-83	1.0	0.927	0.537	UniRef:UniRef50_A0A353EW02
CADBPJ010000034.1	cds	18603	19511	-	BBJOLO_00329	400.0	2.1e-139	1.036	1.010	0.642	UniRef:UniRef50_G5INK6
CADBPJ010000034.1	cds	19529	20209	-	BBJOLO_00330	-	-	-	-	-	-
CADBPJ010000034.1	cds	20293	20976	-	BBJOLO_00331	248.0	9.6e-82	0.982	0.949	0.529	UniRef:UniRef50_A0A357CVS4
CADBPJ010000034.1	cds	20992	22296	-	BBJOLO_00332	-	-	-	-	-	-
CADBPJ010000034.1	cds	22395	23741	-	BBJOLO_00333	613.0	2.1e-218	1.0	0.933	0.636	UniRef:UniRef50_F7JS37
CADBPJ010000034.1	cds	23878	24717	+	BBJOLO_00334	-	-	-	-	-	-
CADBPJ010000034.1	cds	24724	25455	-	BBJOLO_00335	283.0	1.4e-94	0.967	0.894	0.574	UniRef:UniRef50_A0A9E1I0M4
CADBPJ010000034.1	cds	25510	26814	-	BBJOLO_00336	-	-	-	-	-	-
CADBPJ010000034.1	cds	26885	28168	+	BBJOLO_00337	422.0	1.0e-143	0.977	0.916	0.537	UniRef:UniRef50_Q9KCA6
CADBPJ010000034.1	cds	28256	28678	-	BBJOLO_00338	160.0	2.1e-49	1.021	0.822	0.580	UniRef:UniRef50_I2NF05
CADBPJ010000034.1	cds	28844	29404	+	BBJOLO_00339	-	-	-	-	-	-
CADBPJ010000034.1	cds	29523	31976	+	BBJOLO_00340	791.0	3.8e-276	1.017	0.942	0.525	UniRef:UniRef50_A0A3E2B6S4
CADBPJ010000034.1	cds	31966	35349	+	BBJOLO_00341	-	-	-	-	-	-
CADBPJ010000034.1	cds	35536	37188	+	BBJOLO_00342	575.0	3.6e-200	0.989	0.968	0.524	UniRef:UniRef50_A0A1T4MVC5
CADBPJ010000035.1	cds	17	391	+	BBJOLO_00343	-	-	-	-	-	-
CADBPJ010000035.1	cds	404	1036	+	BBJOLO_00344	286.0	4.1e-97	0.924	0.836	0.737	UniRef:UniRef50_E0NN28
CADBPJ010000035.1	cds	1036	1692	+	BBJOLO_00345	227.0	9.0e-74	0.982	0.977	0.542	UniRef:UniRef50_A0A1C5YMJ8
CADBPJ010000035.1	cds	1770	2582	+	BBJOLO_00346	339.0	1.0e-115	0.985	0.847	0.650	UniRef:UniRef50_A0A1C6JJP9
CADBPJ010000035.1	cds	2584	3768	+	BBJOLO_00347	541.0	5.6e-191	0.980	0.848	0.702	UniRef:UniRef50_A0A7K0K4B1
CADBPJ010000035.1	cds	3765	3911	+	BBJOLO_00348	-	-	-	-	-	-
CADBPJ010000036.1	cds	356	1249	-	BBJOLO_00349	295.0	4.0e-97	0.963	0.808	0.531	UniRef:UniRef50_A8MLW8
CADBPJ010000036.1	cds	1282	2223	-	BBJOLO_00350	348.0	4.3e-118	0.974	0.919	0.548	UniRef:UniRef50_A0A0M3DF87
CADBPJ010000036.1	cds	2485	2673	+	BBJOLO_00351	85.1	3.4e-22	1.016	1.0	0.635	UniRef:UniRef50_G2IGZ5
CADBPJ010000036.1	cds	2880	4160	+	BBJOLO_00352	450.0	1.2e-154	0.981	0.899	0.548	UniRef:UniRef50_A0A9D1AG40
CADBPJ010000036.1	cds	4162	5007	+	BBJOLO_00353	-	-	-	-	-	-
CADBPJ010000036.1	cds	5004	5240	+	BBJOLO_00354	-	-	-	-	-	-
CADBPJ010000036.1	cds	5540	6748	+	BBJOLO_00355	-	-	-	-	-	-
CADBPJ010000036.1	cds	6764	7615	+	BBJOLO_00356	-	-	-	-	-	-
CADBPJ010000036.1	cds	7624	8802	-	BBJOLO_00357	465.0	9.2e-162	0.987	0.919	0.589	UniRef:UniRef50_A0A430AQZ4
CADBPJ010000036.1	cds	8835	9677	-	BBJOLO_00358	290.0	1.0e-95	1.007	0.844	0.543	UniRef:UniRef50_Q034Q8
CADBPJ010000036.1	cds	9698	10579	-	BBJOLO_00359	-	-	-	-	-	-
CADBPJ010000036.1	cds	10580	11515	-	BBJOLO_00360	312.0	3.3e-104	1.013	0.987	0.514	UniRef:UniRef50_A0A2K9P2I0
CADBPJ010000036.1	cds	11646	12581	+	BBJOLO_00361	333.0	1.2e-112	0.987	0.950	0.557	UniRef:UniRef50_A0A1Y4V7F5
CADBPJ010000036.1	cds	12616	13302	+	BBJOLO_00362	-	-	-	-	-	-
CADBPJ010000036.1	cds	13374	13820	-	BBJOLO_00363	147.0	1.9e-44	0.804	0.862	0.597	UniRef:UniRef50_A0A0G0BQM1
CADBPJ010000036.1	cds	13822	15039	-	BBJOLO_00364	431.0	4.0e-147	0.973	0.831	0.553	UniRef:UniRef50_A0A7X6VRH4
CADBPJ010000036.1	cds	15250	16056	+	BBJOLO_00365	-	-	-	-	-	-
CADBPJ010000036.1	cds	16069	16821	-	BBJOLO_00366	298.0	8.7e-101	1.028	1.0	0.642	UniRef:UniRef50_A0A1V5KMQ9
CADBPJ010000036.1	cds	16836	18254	-	BBJOLO_00367	659.0	6.8e-236	0.998	0.994	0.688	UniRef:UniRef50_A0A1C5V8D6
CADBPJ010000036.1	cds	18251	19684	-	BBJOLO_00368	483.0	4.7e-166	0.987	0.906	0.516	UniRef:UniRef50_Q0I9N6
CADBPJ010000036.1	cds	19699	19977	-	BBJOLO_00369	-	-	-	-	-	-
CADBPJ010000036.1	cds	20137	20550	-	BBJOLO_00370	-	-	-	-	-	-
CADBPJ010000036.1	cds	20687	22174	-	BBJOLO_00371	605.0	1.6e-213	1.059	0.989	0.576	UniRef:UniRef50_R9K208
CADBPJ010000036.1	cds	22190	23353	-	BBJOLO_00372	484.0	1.6e-169	1.005	0.960	0.604	UniRef:UniRef50_A0A0H3J6X9
CADBPJ010000036.1	cds	23521	23958	+	BBJOLO_00373	194.0	1.3e-62	0.945	0.862	0.657	UniRef:UniRef50_F7V6Z1
CADBPJ010000036.1	cds	23996	24976	-	BBJOLO_00374	416.0	1.1e-144	0.969	0.938	0.665	UniRef:UniRef50_A0A3D1HDF7
CADBPJ010000036.1	cds	25002	25412	-	BBJOLO_00375	150.0	2.1e-45	0.985	0.832	0.552	UniRef:UniRef50_A0A4J1RPT2
CADBPJ010000037.1	cds	225	1463	-	BBJOLO_00376	444.0	5.3e-152	1.235	1.006	0.538	UniRef:UniRef50_A0A525CYM6
CADBPJ010000037.1	cds	1492	1872	-	BBJOLO_00377	-	-	-	-	-	-
CADBPJ010000037.1	cds	1897	2292	-	BBJOLO_00378	-	-	-	-	-	-
CADBPJ010000037.1	cds	2316	3866	-	BBJOLO_00379	661.0	7.5e-235	0.992	0.928	0.637	UniRef:UniRef50_P54541
CADBPJ010000037.1	tRNA	4122	4195	+	BBJOLO_00380	54.0	-	-	-	-	-
CADBPJ010000037.1	cds	4432	5880	-	BBJOLO_00381	478.0	2.0e-163	1.087	0.934	0.536	UniRef:UniRef50_G5GJC2
CADBPJ010000037.1	ncRNA-region	5948	6039	-	-	61.3	3.8e-10	-	-	-	RFAM:RF00504
CADBPJ010000037.1	cds	6175	7245	-	BBJOLO_00382	465.0	3.8e-163	0.975	0.967	0.654	UniRef:UniRef50_A0A2N2BKL8
CADBPJ010000037.1	cds	7246	8217	-	BBJOLO_00383	377.0	1.3e-129	0.997	0.997	0.537	UniRef:UniRef50_A0A2V2GIF3
CADBPJ010000037.1	cds	8292	9119	-	BBJOLO_00384	-	-	-	-	-	-
CADBPJ010000037.1	cds	9139	10302	-	BBJOLO_00385	483.0	2.5e-169	1.023	0.995	0.634	UniRef:UniRef50_A0A1V6AM07
CADBPJ010000037.1	cds	10433	11314	+	BBJOLO_00386	-	-	-	-	-	-
CADBPJ010000037.1	cds	11307	12182	+	BBJOLO_00387	-	-	-	-	-	-
CADBPJ010000037.1	cds	12277	14466	-	BBJOLO_00388	766.0	4.7e-269	0.951	0.856	0.548	UniRef:UniRef50_A0A932BW38
CADBPJ010000037.1	cds	14530	14970	-	BBJOLO_00389	-	-	-	-	-	-
CADBPJ010000037.1	cds	14984	15829	-	BBJOLO_00390	-	-	-	-	-	-
CADBPJ010000037.1	cds	15823	16797	-	BBJOLO_00391	385.0	1.7e-132	1.015	0.994	0.617	UniRef:UniRef50_B2A3J1
CADBPJ010000037.1	cds	16837	17418	-	BBJOLO_00392	-	-	-	-	-	-
CADBPJ010000037.1	cds	17405	18262	-	BBJOLO_00393	-	-	-	-	-	-
CADBPJ010000037.1	cds	18415	18861	+	BBJOLO_00394	168.0	2.7e-52	0.953	0.855	0.560	UniRef:UniRef50_L7VSL6
CADBPJ010000037.1	cds	19166	19660	-	BBJOLO_00395	-	-	-	-	-	-
CADBPJ010000037.1	cds	19657	19833	-	BBJOLO_00396	-	-	-	-	-	-
CADBPJ010000038.1	cds	956	1795	+	BBJOLO_00397	-	-	-	-	-	-
CADBPJ010000038.1	cds	1918	3384	-	BBJOLO_00398	-	-	-	-	-	-
CADBPJ010000039.1	cds	64	2169	+	BBJOLO_00399	-	-	-	-	-	-
CADBPJ010000040.1	cds	1472	1651	-	BBJOLO_00400	-	-	-	-	-	-
CADBPJ010000040.1	cds	1666	2040	-	BBJOLO_00401	-	-	-	-	-	-
CADBPJ010000041.1	cds	229	660	+	BBJOLO_00402	-	-	-	-	-	-
CADBPJ010000041.1	cds	864	5750	+	BBJOLO_00403	-	-	-	-	-	-
CADBPJ010000041.1	cds	5782	8499	+	BBJOLO_00404	-	-	-	-	-	-
CADBPJ010000042.1	cds	16	378	+	BBJOLO_00405	-	-	-	-	-	-
CADBPJ010000042.1	cds	417	893	+	BBJOLO_00406	-	-	-	-	-	-
CADBPJ010000042.1	cds	883	1620	+	BBJOLO_00407	-	-	-	-	-	-
CADBPJ010000042.1	cds	1692	3623	+	BBJOLO_00408	900.0	0.0	0.995	0.904	0.700	UniRef:UniRef50_A0A7C1IRB1
CADBPJ010000042.1	cds	3674	3844	+	BBJOLO_00409	-	-	-	-	-	-
CADBPJ010000042.1	cds	3822	3998	+	BBJOLO_00410	-	-	-	-	-	-
CADBPJ010000042.1	cds	4023	5225	+	BBJOLO_00411	412.0	1.2e-140	1.008	0.973	0.538	UniRef:UniRef50_A0A4Y7RMX0
CADBPJ010000042.1	cds	5222	5911	+	BBJOLO_00412	-	-	-	-	-	-
CADBPJ010000042.1	cds	6187	6762	-	BBJOLO_00413	-	-	-	-	-	-
CADBPJ010000043.1	cds	426	1334	+	BBJOLO_00414	-	-	-	-	-	-
CADBPJ010000043.1	cds	1371	3233	-	BBJOLO_00415	650.0	7.7e-227	1.023	0.932	0.566	UniRef:UniRef50_A5N4C8
CADBPJ010000043.1	cds	3402	3935	+	BBJOLO_00416	-	-	-	-	-	-
CADBPJ010000043.1	cds	4002	5156	+	BBJOLO_00417	488.0	2.3e-170	0.992	0.841	0.627	UniRef:UniRef50_A0A7U9WXZ4
CADBPJ010000043.1	cds	5176	5952	-	BBJOLO_00418	267.0	3.8e-88	0.992	0.941	0.535	UniRef:UniRef50_U5FBB9
CADBPJ010000043.1	cds	6097	8604	+	BBJOLO_00419	-	-	-	-	-	-
CADBPJ010000043.1	cds	8601	9503	+	BBJOLO_00420	-	-	-	-	-	-
CADBPJ010000043.1	cds	9532	10212	-	BBJOLO_00421	259.0	3.5e-86	0.973	0.940	0.582	UniRef:UniRef50_R6QGL4
CADBPJ010000043.1	cds	10319	11617	-	BBJOLO_00422	579.0	3.7e-205	0.995	0.896	0.679	UniRef:UniRef50_A0A1B3WEA9
CADBPJ010000043.1	cds	11678	13342	-	BBJOLO_00423	693.0	5.8e-246	0.991	0.888	0.628	UniRef:UniRef50_Q725Q1
CADBPJ010000043.1	cds	13359	14963	-	BBJOLO_00424	-	-	-	-	-	-
CADBPJ010000043.1	cds	14956	15696	-	BBJOLO_00425	-	-	-	-	-	-
CADBPJ010000043.1	cds	16033	17043	+	BBJOLO_00426	-	-	-	-	-	-
CADBPJ010000043.1	cds	17142	17612	+	BBJOLO_00427	-	-	-	-	-	-
CADBPJ010000043.1	cds	17609	18571	+	BBJOLO_00428	301.0	4.5e-100	0.844	0.894	0.570	UniRef:UniRef50_P37541
CADBPJ010000043.1	cds	18679	18852	+	BBJOLO_00429	-	-	-	-	-	-
CADBPJ010000043.1	cds	18965	20884	+	BBJOLO_00430	-	-	-	-	-	-
CADBPJ010000043.1	cds	20908	22245	+	BBJOLO_00431	474.0	1.7e-163	0.982	0.928	0.533	UniRef:UniRef50_A0A373Q8Z3
CADBPJ010000043.1	cds	22261	24024	+	BBJOLO_00432	-	-	-	-	-	-
CADBPJ010000043.1	cds	24027	27368	+	BBJOLO_00433	-	-	-	-	-	-
CADBPJ010000043.1	cds	27393	28235	+	BBJOLO_00434	335.0	8.4e-114	1.0	0.848	0.579	UniRef:UniRef50_A0A4P6LUQ1
CADBPJ010000044.1	cds	418	963	+	BBJOLO_00435	175.0	1.9e-54	0.845	0.860	0.556	UniRef:UniRef50_R3W835
CADBPJ010000044.1	cds	1000	2250	-	BBJOLO_00436	-	-	-	-	-	-
CADBPJ010000044.1	cds	3024	3785	-	BBJOLO_00437	-	-	-	-	-	-
CADBPJ010000044.1	cds	3930	5423	-	BBJOLO_00438	730.0	1.0e-261	1.217	1.002	0.640	UniRef:UniRef50_C1FRL0
CADBPJ010000044.1	cds	5602	6198	+	BBJOLO_00439	225.0	1.9e-73	1.015	1.0	0.547	UniRef:UniRef50_A0A1C6HS17
CADBPJ010000044.1	cds	6210	6971	+	BBJOLO_00440	304.0	2.2e-102	0.996	0.840	0.611	UniRef:UniRef50_Q9K0H4
CADBPJ010000044.1	cds	7769	8767	-	BBJOLO_00441	-	-	-	-	-	-
CADBPJ010000044.1	cds	8754	9719	-	BBJOLO_00442	323.0	4.7e-108	1.0	0.899	0.502	UniRef:UniRef50_A0A373QA71
CADBPJ010000044.1	cds	9732	10868	-	BBJOLO_00443	436.0	2.6e-150	1.026	0.880	0.642	UniRef:UniRef50_P52329
CADBPJ010000044.1	cds	10886	12703	-	BBJOLO_00444	-	-	-	-	-	-
CADBPJ010000044.1	cds	12979	13866	-	BBJOLO_00445	234.0	3.3e-74	0.953	0.906	0.541	UniRef:UniRef50_A0A974WMQ5
CADBPJ010000044.1	cds	13914	14324	-	BBJOLO_00446	-	-	-	-	-	-
CADBPJ010000044.1	cds	14534	15439	+	BBJOLO_00447	-	-	-	-	-	-
CADBPJ010000044.1	cds	15507	16847	-	BBJOLO_00448	-	-	-	-	-	-
CADBPJ010000044.1	cds	17041	18120	-	BBJOLO_00449	-	-	-	-	-	-
CADBPJ010000044.1	cds	18183	19889	-	BBJOLO_00450	-	-	-	-	-	-
CADBPJ010000045.1	tRNA	10	85	+	BBJOLO_00451	76.2	-	-	-	-	-
CADBPJ010000045.1	cds	321	1148	+	BBJOLO_00452	-	-	-	-	-	-
CADBPJ010000046.1	cds	132	917	-	BBJOLO_00453	-	-	-	-	-	-
CADBPJ010000046.1	cds	1009	1719	-	BBJOLO_00454	231.0	4.0e-74	1.004	0.875	0.519	UniRef:UniRef50_A0A416EH13
