#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
CADBPJ010000043.1	14956	15696	-	BBJOLO_00425	27.4	6.2	PF01416.25|PseudoU_synth_1	PFAM:PF01416.25
CADBPJ010000043.1	16033	17043	+	BBJOLO_00426	37.7	5.0		
CADBPJ010000043.1	17142	17612	+	BBJOLO_00427	18.3	9.9		
CADBPJ010000043.1	18679	18852	+	BBJOLO_00429	5.5	4.1	PF00037.32|Fer4, PF12797.12|Fer4_2, PF12798.12|Fer4_3, PF12800.12|Fer4_4, PF12837.12|Fer4_6, PF12838.12|Fer4_7, PF13183.11|Fer4_8, PF13237.11|Fer4_10, PF13459.11|Fer4_15, PF13484.11|Fer4_16, PF13534.11|Fer4_17, PF14697.11|Fer4_21	PFAM:PF00037.32, PFAM:PF12797.12, PFAM:PF12798.12, PFAM:PF12800.12, PFAM:PF12837.12, PFAM:PF12838.12, PFAM:PF13183.11, PFAM:PF13237.11, PFAM:PF13459.11, PFAM:PF13484.11, PFAM:PF13534.11, PFAM:PF14697.11
CADBPJ010000043.1	18965	20884	+	BBJOLO_00430	70.9	4.9		
CADBPJ010000043.1	22261	24024	+	BBJOLO_00432	63.9	5.6	PF01832.25|Glucosaminidase, PF02368.24|Big_2	PFAM:PF01832.25, PFAM:PF02368.24
CADBPJ010000043.1	24027	27368	+	BBJOLO_00433	126.3	7.5		
CADBPJ010000044.1	1000	2250	-	BBJOLO_00436	46.9	5.1		
CADBPJ010000044.1	3024	3785	-	BBJOLO_00437	28.7	5.2	PF01261.30|AP_endonuc_2	PFAM:PF01261.30
CADBPJ010000044.1	7769	8767	-	BBJOLO_00441	36.7	4.7	PF00258.30|Flavodoxin_1	PFAM:PF00258.30
CADBPJ010000044.1	10886	12703	-	BBJOLO_00444	68.5	7.4	PF01807.25|Zn_ribbon_DnaG, PF08275.17|DNAG_N, PF10410.14|DnaB_bind, PF13362.12|Toprim_3, PF13662.12|Toprim_4	PFAM:PF01807.25, PFAM:PF08275.17, PFAM:PF10410.14, PFAM:PF13362.12, PFAM:PF13662.12
CADBPJ010000044.1	13914	14324	-	BBJOLO_00446	14.9	7.7	PF01957.25|NfeD	PFAM:PF01957.25
CADBPJ010000044.1	14534	15439	+	BBJOLO_00447	32.3	9.2	PF00892.27|EamA	PFAM:PF00892.27
CADBPJ010000044.1	15507	16847	-	BBJOLO_00448	50.9	5.5	PF00149.33|Metallophos	PFAM:PF00149.33
CADBPJ010000044.1	17041	18120	-	BBJOLO_00449	40.7	5.6	PF00149.33|Metallophos	PFAM:PF00149.33
CADBPJ010000044.1	18183	19889	-	BBJOLO_00450	65.0	5.2	PF00703.27|Glyco_hydro_2, PF02836.23|Glyco_hydro_2_C, PF02837.24|Glyco_hydro_2_N	PFAM:PF00703.27, PFAM:PF02836.23, PFAM:PF02837.24
CADBPJ010000045.1	321	1148	+	BBJOLO_00452	31.5	5.2	PF00753.33|Lactamase_B, PF12706.13|Lactamase_B_2	PFAM:PF00753.33, PFAM:PF12706.13
CADBPJ010000046.1	132	917	-	BBJOLO_00453	28.5	4.5	PF00497.25|SBP_bac_3	PFAM:PF00497.25
CADBPJ010000046.1	2134	2529	-	BBJOLO_00456	14.7	9.9	PF01740.26|STAS, PF13466.11|STAS_2	PFAM:PF01740.26, PFAM:PF13466.11
CADBPJ010000046.1	2636	3388	-	BBJOLO_00457	29.1	5.6	PF04203.18|Sortase	PFAM:PF04203.18
CADBPJ010000046.1	3410	4528	-	BBJOLO_00458	39.8	4.9	PF00746.26|Gram_pos_anchor	PFAM:PF00746.26
CADBPJ010000046.1	4553	5386	-	BBJOLO_00459	30.2	5.0	PF01842.31|ACT	PFAM:PF01842.31
CADBPJ010000047.1	37	1416	+	BBJOLO_00462	49.1	4.5		
CADBPJ010000047.1	1484	2641	+	BBJOLO_00463	42.9	8.7		
CADBPJ010000047.1	2628	3851	+	BBJOLO_00464	44.9	7.5	PF01266.30|DAO, PF03486.20|HI0933_like, PF07992.20|Pyr_redox_2, PF13450.12|NAD_binding_8, PF13454.12|NAD_binding_9	PFAM:PF01266.30, PFAM:PF03486.20, PFAM:PF07992.20, PFAM:PF13450.12, PFAM:PF13454.12
CADBPJ010000047.1	3853	4404	+	BBJOLO_00465	20.8	9.5		
CADBPJ010000047.1	4582	5727	+	BBJOLO_00466	41.9	5.3	PF13308.11|YARHG	PFAM:PF13308.11
CADBPJ010000047.1	5849	6127	-	BBJOLO_00467	10.7	5.0		
CADBPJ010000047.1	7010	7309	+	BBJOLO_00469	11.3	9.2		
CADBPJ010000047.1	8392	8652	-	BBJOLO_00471	9.0	4.7		
CADBPJ010000047.1	10156	10560	-	BBJOLO_00472	14.7	9.0		
CADBPJ010000048.1	394	2367	+	BBJOLO_00473	74.3	5.0	PF01055.32|Glyco_hydro_31_2nd	PFAM:PF01055.32
CADBPJ010000048.1	2390	3238	+	BBJOLO_00474	31.0	4.9	PF00326.27|Peptidase_S9, PF01738.24|DLH, PF02230.22|Abhydrolase_2, PF07859.19|Abhydrolase_3, PF20434.5|BD-FAE	PFAM:PF00326.27, PFAM:PF01738.24, PFAM:PF02230.22, PFAM:PF07859.19, PFAM:PF20434.5
CADBPJ010000048.1	3192	3389	-	BBJOLO_00475	7.8	10.1		
CADBPJ010000048.1	3541	4374	-	BBJOLO_00476	31.6	8.9	PF00165.29|HTH_AraC, PF10114.15|PocR, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF10114.15, PFAM:PF12833.13
CADBPJ010000048.1	4491	6179	+	BBJOLO_00477	63.9	5.2	PF13450.12|NAD_binding_8	PFAM:PF13450.12
CADBPJ010000048.1	6249	6419	-	BBJOLO_00478	6.0	9.6		
CADBPJ010000049.1	118	1248	-	BBJOLO_00479	42.0	8.5	PF00004.35|AAA, PF00158.32|Sigma54_activat, PF01078.27|Mg_chelatase, PF05496.18|RuvB_N, PF07728.20|AAA_5, PF13401.12|AAA_22	PFAM:PF00004.35, PFAM:PF00158.32, PFAM:PF01078.27, PFAM:PF05496.18, PFAM:PF07728.20, PFAM:PF13401.12
CADBPJ010000049.1	1283	1981	-	BBJOLO_00480	25.4	4.7		
CADBPJ010000050.1	233	1513	+	BBJOLO_00481	48.8	7.0	PF13692.12|Glyco_trans_1_4	PFAM:PF13692.12
CADBPJ010000050.1	1514	2476	+	BBJOLO_00482	37.1	7.1	PF00535.33|Glycos_transf_2, PF13641.12|Glyco_tranf_2_3	PFAM:PF00535.33, PFAM:PF13641.12
CADBPJ010000052.1	155	1222	+	BBJOLO_00485	40.3	8.7	PF00990.26|GGDEF	PFAM:PF00990.26
CADBPJ010000052.1	1461	2363	-	BBJOLO_00486	34.6	8.2	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
CADBPJ010000053.1	33	566	+	BBJOLO_00487	19.1	6.8	PF00132.30|Hexapep	PFAM:PF00132.30
CADBPJ010000054.1	949	2178	+	BBJOLO_00489	45.2	4.8		
CADBPJ010000055.1	33	266	+	BBJOLO_00492	8.8	5.3		
CADBPJ010000055.1	278	2188	+	BBJOLO_00493	70.8	5.3		
CADBPJ010000055.1	2192	2929	+	BBJOLO_00494	28.5	4.7		
CADBPJ010000055.1	2944	4116	+	BBJOLO_00495	42.4	4.2		
CADBPJ010000055.1	4116	4940	+	BBJOLO_00496	31.6	7.0		
CADBPJ010000055.1	4953	5234	+	BBJOLO_00497	11.0	4.3		
CADBPJ010000055.1	5661	6356	+	BBJOLO_00499	26.4	7.7	PF01510.30|Amidase_2	PFAM:PF01510.30
CADBPJ010000056.1	340	834	+	BBJOLO_00501	18.7	5.1	PF10646.14|Germane	PFAM:PF10646.14
CADBPJ010000056.1	2322	3482	+	BBJOLO_00503	42.0	5.3		
CADBPJ010000056.1	3616	4062	+	BBJOLO_00504	16.9	4.5	PF02576.22|RimP_N, PF17384.8|DUF150_C	PFAM:PF02576.22, PFAM:PF17384.8
CADBPJ010000056.1	5141	5392	+	BBJOLO_00506	9.8	8.8		
CADBPJ010000056.1	5389	5691	+	BBJOLO_00507	10.8	8.7	PF01248.31|Ribosomal_L7Ae	PFAM:PF01248.31
CADBPJ010000056.1	8834	9778	+	BBJOLO_00510	34.3	4.9	PF01368.27|DHH, PF02272.25|DHHA1	PFAM:PF01368.27, PFAM:PF02272.25
CADBPJ010000056.1	9778	10641	+	BBJOLO_00511	32.5	6.0		
CADBPJ010000056.1	10652	11551	+	BBJOLO_00512	33.7	6.2	PF01687.23|Flavokinase	PFAM:PF01687.23
CADBPJ010000057.1	40	195	+	BBJOLO_00513	6.0	5.3		
CADBPJ010000057.1	216	797	+	BBJOLO_00514	22.5	5.9		
CADBPJ010000057.1	815	1069	+	BBJOLO_00515	9.5	4.7		
CADBPJ010000057.1	1078	1608	+	BBJOLO_00516	19.5	8.9		
CADBPJ010000058.1	321	1868	-	BBJOLO_00517	56.5	4.6	PF13472.12|Lipase_GDSL_2	PFAM:PF13472.12
CADBPJ010000058.1	1907	3352	-	BBJOLO_00518	53.9	4.6		
CADBPJ010000060.1	10150	10743	+	BBJOLO_00532	21.5	4.6	PF16729.10|DUF5067	PFAM:PF16729.10
CADBPJ010000060.1	12578	13789	+	BBJOLO_00535	44.4	4.4	PF07833.16|Cu_amine_oxidN1	PFAM:PF07833.16
CADBPJ010000060.1	13801	14856	+	BBJOLO_00536	39.4	4.4	PF00395.25|SLH	PFAM:PF00395.25
CADBPJ010000060.1	17941	19275	+	BBJOLO_00539	48.1	4.7	PF00395.25|SLH	PFAM:PF00395.25
CADBPJ010000062.1	2834	3829	+	BBJOLO_00548	35.2	9.7		
CADBPJ010000062.1	6125	7807	+	BBJOLO_00551	64.2	5.0	PF02518.31|HATPase_c, PF06580.19|His_kinase	PFAM:PF02518.31, PFAM:PF06580.19
CADBPJ010000062.1	7800	9263	+	BBJOLO_00552	56.5	5.4	PF00072.30|Response_reg, PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00072.30, PFAM:PF00165.29, PFAM:PF12833.13
CADBPJ010000063.1	4789	5337	-	BBJOLO_00558	20.1	9.7		
CADBPJ010000063.1	6646	7137	-	BBJOLO_00560	19.3	7.7	PF02631.22|RecX_HTH2, PF21982.2|RecX_HTH1	PFAM:PF02631.22, PFAM:PF21982.2
CADBPJ010000063.1	7134	8333	-	BBJOLO_00561	46.5	5.6	PF13023.12|HD_3	PFAM:PF13023.12
CADBPJ010000063.1	11547	12317	+	BBJOLO_00565	28.2	5.3	PF22435.1|MRM3-like_sub_bind	PFAM:PF22435.1
CADBPJ010000063.1	12314	13423	+	BBJOLO_00566	41.2	5.2	PF17782.7|DprA_WH	PFAM:PF17782.7
CADBPJ010000064.1	83	745	+	BBJOLO_00567	24.9	5.8		
CADBPJ010000065.1	109	1935	+	BBJOLO_00568	69.6	5.2	PF08676.16|MutL_C	PFAM:PF08676.16
CADBPJ010000065.1	2862	3116	-	BBJOLO_00570	9.8	5.7		
CADBPJ010000065.1	3117	3464	-	BBJOLO_00571	12.7	4.8		
CADBPJ010000065.1	3481	3696	-	BBJOLO_00572	8.2	9.6		
CADBPJ010000065.1	4072	4377	-	BBJOLO_00573	10.4	5.4		
CADBPJ010000066.1	1468	2619	-	BBJOLO_00575	43.8	5.9	PF00990.26|GGDEF	PFAM:PF00990.26
CADBPJ010000066.1	2657	3352	-	BBJOLO_00576	26.7	5.1	PF00990.26|GGDEF	PFAM:PF00990.26
CADBPJ010000067.1	218	487	+	BBJOLO_00577	10.7	4.4		
CADBPJ010000067.1	696	2069	-	BBJOLO_00578	48.6	4.6	PF00395.25|SLH	PFAM:PF00395.25
CADBPJ010000067.1	2200	2487	+	BBJOLO_00579	11.0	6.2	PF01381.28|HTH_3, PF12844.13|HTH_19, PF13443.12|HTH_26, PF13560.12|HTH_31	PFAM:PF01381.28, PFAM:PF12844.13, PFAM:PF13443.12, PFAM:PF13560.12
CADBPJ010000067.1	2694	3119	-	BBJOLO_00580	16.4	9.0		
CADBPJ010000067.1	3204	3395	+	BBJOLO_00581	7.4	9.4		
CADBPJ010000067.1	3776	4441	-	BBJOLO_00582	24.6	9.5		
CADBPJ010000067.1	4730	5275	-	BBJOLO_00583	19.9	10.1		
CADBPJ010000069.1	1005	1664	+	BBJOLO_00587	25.0	8.7	PF00027.35|cNMP_binding, PF13545.12|HTH_Crp_2	PFAM:PF00027.35, PFAM:PF13545.12
CADBPJ010000070.1	2268	2903	-	BBJOLO_00592	24.0	5.6	PF10412.15|TrwB_AAD_bind	PFAM:PF10412.15
CADBPJ010000071.1	188	3403	-	BBJOLO_00594	122.8	5.6	PF07719.23|TPR_2, PF13181.12|TPR_8, PF13424.12|TPR_12, PF13428.12|TPR_14	PFAM:PF07719.23, PFAM:PF13181.12, PFAM:PF13424.12, PFAM:PF13428.12
CADBPJ010000071.1	3516	4295	+	BBJOLO_00595	30.2	7.6	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
CADBPJ010000072.1	18	896	+	BBJOLO_00598	32.5	9.6		
CADBPJ010000072.1	903	1892	+	BBJOLO_00599	38.0	7.6		
CADBPJ010000073.1	807	1187	+	BBJOLO_00601	14.4	6.2		
CADBPJ010000073.1	1295	1903	+	BBJOLO_00602	22.1	4.2		
CADBPJ010000073.1	2079	2852	+	BBJOLO_00603	28.8	6.2	PF00072.30|Response_reg, PF08769.17|Spo0A_C	PFAM:PF00072.30, PFAM:PF08769.17
CADBPJ010000073.1	5657	6655	-	BBJOLO_00607	37.5	5.0	PF01464.25|SLT, PF07833.16|Cu_amine_oxidN1	PFAM:PF01464.25, PFAM:PF07833.16
CADBPJ010000074.1	24	1133	+	BBJOLO_00608	42.3	5.0	PF07748.19|Glyco_hydro_38C, PF17677.7|Glyco_hydro38C2	PFAM:PF07748.19, PFAM:PF17677.7
CADBPJ010000074.1	3172	3768	+	BBJOLO_00611	22.8	8.3	PF01467.32|CTP_transf_like	PFAM:PF01467.32
CADBPJ010000074.1	3768	4346	+	BBJOLO_00612	21.9	5.4		
CADBPJ010000074.1	4343	4675	+	BBJOLO_00613	12.5	5.0		
CADBPJ010000075.1	1	1446	+	BBJOLO_00614	52.9	5.0	PF00408.26|PGM_PMM_IV, PF02878.22|PGM_PMM_I, PF02879.22|PGM_PMM_II, PF02880.22|PGM_PMM_III	PFAM:PF00408.26, PFAM:PF02878.22, PFAM:PF02879.22, PFAM:PF02880.22
CADBPJ010000075.1	4427	6586	-	BBJOLO_00616	80.0	5.2	PF00933.27|Glyco_hydro_3, PF01915.27|Glyco_hydro_3_C	PFAM:PF00933.27, PFAM:PF01915.27
CADBPJ010000075.1	6745	10170	-	BBJOLO_00617	128.0	4.8	PF13229.12|Beta_helix	PFAM:PF13229.12
CADBPJ010000075.1	10192	12927	-	BBJOLO_00618	101.6	4.7	PF00395.25|SLH	PFAM:PF00395.25
CADBPJ010000075.1	12929	15865	-	BBJOLO_00619	107.8	4.8	PF00395.25|SLH	PFAM:PF00395.25
CADBPJ010000076.1	20	604	+	BBJOLO_00620	22.0	5.8	PF00395.25|SLH	PFAM:PF00395.25
CADBPJ010000076.1	658	1179	+	BBJOLO_00621	18.7	4.4		
CADBPJ010000076.1	2036	2590	+	BBJOLO_00624	20.4	8.1	PF04542.20|Sigma70_r2	PFAM:PF04542.20
CADBPJ010000076.1	3217	4317	+	BBJOLO_00626	42.3	9.8	PF14659.12|Phage_int_SAM_3	PFAM:PF14659.12
CADBPJ010000076.1	6353	6919	+	BBJOLO_00629	22.2	5.0	PF00440.29|TetR_N	PFAM:PF00440.29
CADBPJ010000076.1	7015	8493	+	BBJOLO_00630	54.7	6.9	PF01656.29|CbiA, PF09140.17|MipZ, PF13614.12|AAA_31	PFAM:PF01656.29, PFAM:PF09140.17, PFAM:PF13614.12
CADBPJ010000076.1	8435	8539	+	BBJOLO_00631	4.1	5.7		
CADBPJ010000076.1	8502	9209	+	BBJOLO_00632	27.0	8.6	PF19567.5|CpsB_CapC	PFAM:PF19567.5
CADBPJ010000076.1	10418	11119	+	BBJOLO_00635	26.3	9.0	PF02397.22|Bac_transf	PFAM:PF02397.22
CADBPJ010000076.1	13376	14554	+	BBJOLO_00638	45.1	7.0	PF02786.22|CPSase_L_D2, PF08443.16|RimK, PF15632.11|ATPgrasp_Ter	PFAM:PF02786.22, PFAM:PF08443.16, PFAM:PF15632.11
CADBPJ010000076.1	14556	15575	+	BBJOLO_00639	39.1	9.3	PF01757.29|Acyl_transf_3	PFAM:PF01757.29
CADBPJ010000076.1	15585	16799	+	BBJOLO_00640	46.2	9.1	PF13439.12|Glyco_transf_4, PF13524.12|Glyco_trans_1_2, PF13692.12|Glyco_trans_1_4	PFAM:PF13439.12, PFAM:PF13524.12, PFAM:PF13692.12
CADBPJ010000076.1	17911	19377	+	BBJOLO_00642	55.2	8.7		
CADBPJ010000076.1	19343	20230	+	BBJOLO_00643	34.9	9.2	PF00535.33|Glycos_transf_2	PFAM:PF00535.33
CADBPJ010000076.1	20194	20304	+	BBJOLO_00644	4.4	9.7		
CADBPJ010000076.1	20243	21295	+	BBJOLO_00645	40.9	9.3		
CADBPJ010000077.1	225	680	-	BBJOLO_00646	18.0	9.4		
CADBPJ010000077.1	1002	3305	+	BBJOLO_00647	83.5	4.6	PF00395.25|SLH, PF02368.24|Big_2, PF09992.14|NAGPA	PFAM:PF00395.25, PFAM:PF02368.24, PFAM:PF09992.14
CADBPJ010000078.1	786	2363	-	BBJOLO_00648	60.2	5.0		
CADBPJ010000078.1	2378	2638	-	BBJOLO_00649	9.6	6.3		
CADBPJ010000078.1	2705	3886	-	BBJOLO_00650	43.7	5.2		
CADBPJ010000078.1	3905	4309	-	BBJOLO_00651	15.4	9.0		
CADBPJ010000078.1	4423	4674	+	BBJOLO_00652	9.8	7.8		
CADBPJ010000078.1	4690	4845	+	BBJOLO_00653	6.0	4.3		
CADBPJ010000078.1	4846	6255	+	BBJOLO_00654	54.2	6.1	PF04466.19|Terminase_3	PFAM:PF04466.19, SO:0001217, UniRef:UniRef50_E2ZIA4
CADBPJ010000079.1	1257	1415	+	BBJOLO_00656	6.3	6.5		
CADBPJ010000079.1	2696	3046	-	BBJOLO_00658	13.9	7.7		
CADBPJ010000079.1	4513	4710	-	BBJOLO_00660	7.3	5.3		
CADBPJ010000080.1	2525	2662	+	BBJOLO_00663	4.9	8.0		
CADBPJ010000080.1	2649	3326	+	BBJOLO_00664	24.6	6.6	PF09922.15|LiaF-like_C, PF18917.5|LiaI-LiaF-like_TM1, PF22570.1|LiaF-TM	PFAM:PF09922.15, PFAM:PF18917.5, PFAM:PF22570.1
CADBPJ010000080.1	3323	4141	+	BBJOLO_00665	29.2	4.5	PF13349.12|DUF4097	PFAM:PF13349.12
CADBPJ010000080.1	4143	4487	+	BBJOLO_00666	13.0	9.0		
CADBPJ010000080.1	4595	4822	+	BBJOLO_00667	7.7	6.5		
CADBPJ010000080.1	5839	6033	+	BBJOLO_00669	7.5	4.6		
CADBPJ010000080.1	6284	6823	+	BBJOLO_00671	20.1	9.0		
CADBPJ010000081.1	512	1768	-	BBJOLO_00673	47.0	4.9	PF05193.26|Peptidase_M16_C	PFAM:PF05193.26
CADBPJ010000081.1	1843	2688	-	BBJOLO_00674	32.3	5.0	PF02275.23|CBAH, PF03417.21|AAT	PFAM:PF02275.23, PFAM:PF03417.21
CADBPJ010000081.1	2695	3885	-	BBJOLO_00675	42.6	8.7		
CADBPJ010000082.1	42	887	+	BBJOLO_00680	33.4	8.3		
CADBPJ010000082.1	1338	1817	-	BBJOLO_00681	18.1	9.4		
CADBPJ010000082.1	1819	2811	-	BBJOLO_00682	38.2	6.1		
CADBPJ010000082.1	2944	4182	-	BBJOLO_00683	47.0	6.6		
CADBPJ010000082.1	6768	7325	-	BBJOLO_00686	21.3	5.9		
CADBPJ010000082.1	7421	7711	-	BBJOLO_00687	11.1	4.6		
CADBPJ010000082.1	7716	8090	-	BBJOLO_00688	14.4	6.1		
CADBPJ010000083.1	1328	1912	+	BBJOLO_00692	20.7	9.9		
CADBPJ010000083.1	2164	2385	+	BBJOLO_00693	8.3	4.5	PF05239.21|PRC	PFAM:PF05239.21
CADBPJ010000083.1	4969	6147	+	BBJOLO_00697	43.4	5.3	PF02421.24|FeoB_N, PF18128.7|HydF_dimer, PF18133.7|HydF_tetramer	PFAM:PF02421.24, PFAM:PF18128.7, PFAM:PF18133.7
CADBPJ010000083.1	6183	6392	+	BBJOLO_00698	7.6	6.5		
CADBPJ010000085.1	17	538	+	BBJOLO_00701	20.1	5.7		
CADBPJ010000085.1	931	1812	+	BBJOLO_00702	33.7	5.0		
CADBPJ010000086.1	57	812	+	BBJOLO_00703	29.1	8.4	PF00308.24|Bac_DnaA, PF08299.17|Bac_DnaA_C	PFAM:PF00308.24, PFAM:PF08299.17
CADBPJ010000086.1	1071	2207	+	BBJOLO_00704	42.4	5.0	PF00712.24|DNA_pol3_beta, PF02767.21|DNA_pol3_beta_2, PF02768.20|DNA_pol3_beta_3	PFAM:PF00712.24, PFAM:PF02767.21, PFAM:PF02768.20
CADBPJ010000086.1	2217	2843	+	BBJOLO_00705	23.5	5.1	PF00753.33|Lactamase_B, PF12706.13|Lactamase_B_2	PFAM:PF00753.33, PFAM:PF12706.13
CADBPJ010000086.1	4290	5258	+	BBJOLO_00707	38.0	8.8	PF00308.24|Bac_DnaA, PF01695.23|IstB_IS21	PFAM:PF00308.24, PFAM:PF01695.23
CADBPJ010000086.1	5286	5546	-	BBJOLO_00708	9.0	4.4		
CADBPJ010000086.1	5865	6107	+	BBJOLO_00709	8.7	6.6	PF01248.31|Ribosomal_L7Ae	PFAM:PF01248.31
CADBPJ010000087.1	1696	2037	-	BBJOLO_00712	12.9	5.5		
CADBPJ010000087.1	2712	4262	+	BBJOLO_00714	59.3	6.5	PF13091.12|PLDc_2, PF13396.11|PLDc_N	PFAM:PF13091.12, PFAM:PF13396.11
CADBPJ010000087.1	4377	5132	-	BBJOLO_00715	28.9	5.5		
CADBPJ010000087.1	10117	10224	+	BBJOLO_00720	4.1	9.1		
CADBPJ010000087.1	10211	13129	+	BBJOLO_00721	109.2	4.5	PF13517.12|FG-GAP_3	PFAM:PF13517.12
CADBPJ010000088.1	994	2541	-	BBJOLO_00722	55.3	5.0	PF01256.23|Carb_kinase, PF03853.21|YjeF_N	PFAM:PF01256.23, PFAM:PF03853.21
CADBPJ010000088.1	2556	3110	-	BBJOLO_00723	21.0	8.5		
CADBPJ010000089.1	1621	2859	+	BBJOLO_00727	45.2	5.5	PF02875.26|Mur_ligase_C, PF08245.18|Mur_ligase_M	PFAM:PF02875.26, PFAM:PF08245.18
CADBPJ010000089.1	5149	5964	-	BBJOLO_00730	31.4	8.8	PF00165.29|HTH_AraC, PF02311.25|AraC_binding, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF02311.25, PFAM:PF12833.13
CADBPJ010000090.1	119	652	+	BBJOLO_00731	20.1	9.2	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
CADBPJ010000090.1	1108	2277	-	BBJOLO_00732	45.0	5.1	PF01204.24|Trehalase, PF06202.20|GDE_C, PF17389.8|Bac_rhamnosid6H	PFAM:PF01204.24, PFAM:PF06202.20, PFAM:PF17389.8
CADBPJ010000092.1	83	292	+	BBJOLO_00736	7.8	8.9		
CADBPJ010000092.1	555	746	+	BBJOLO_00737	7.0	12.0		
CADBPJ010000092.1	852	1190	+	BBJOLO_00738	13.1	10.3		
CADBPJ010000092.1	1430	2380	+	BBJOLO_00739	35.7	9.2		
CADBPJ010000092.1	2325	3284	+	BBJOLO_00740	35.0	7.7	PF01424.28|R3H, PF13083.13|KH_KhpA-B, PF14804.11|Jag_N	PFAM:PF01424.28, PFAM:PF13083.13, PFAM:PF14804.11
CADBPJ010000093.1	442	1905	+	BBJOLO_00741	54.2	4.9		
CADBPJ010000093.1	1962	3629	+	BBJOLO_00742	60.1	4.6	PF00395.25|SLH	PFAM:PF00395.25
CADBPJ010000093.1	3675	6488	+	BBJOLO_00743	105.4	4.6	PF00395.25|SLH	PFAM:PF00395.25
CADBPJ010000093.1	6504	9824	+	BBJOLO_00744	121.6	4.8		
CADBPJ010000093.1	10097	13495	+	BBJOLO_00745	126.5	4.6	PF06452.16|CBM9_1	PFAM:PF06452.16
CADBPJ010000094.1	986	2053	-	BBJOLO_00747	38.0	6.1	PF01979.26|Amidohydro_1, PF07969.17|Amidohydro_3	PFAM:PF01979.26, PFAM:PF07969.17
CADBPJ010000095.1	16	822	+	BBJOLO_00748	29.0	4.8	PF02782.22|FGGY_C	PFAM:PF02782.22
CADBPJ010000095.1	2685	3806	+	BBJOLO_00751	42.6	8.5	PF00356.27|LacI, PF00532.27|Peripla_BP_1, PF13377.12|Peripla_BP_3	PFAM:PF00356.27, PFAM:PF00532.27, PFAM:PF13377.12
CADBPJ010000096.1	2465	3286	-	BBJOLO_00755	31.8	4.9	PF00722.28|Glyco_hydro_16	PFAM:PF00722.28
CADBPJ010000096.1	4482	4763	-	BBJOLO_00757	10.7	4.6		
CADBPJ010000097.1	85	432	+	BBJOLO_00758	12.9	4.9	PF21467.3|BetaGal_gal-bd	PFAM:PF21467.3
CADBPJ010000097.1	571	771	-	BBJOLO_00759	7.6	9.7	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
CADBPJ010000097.1	836	1396	+	BBJOLO_00760	22.2	9.8		
CADBPJ010000097.1	1432	2340	-	BBJOLO_00761	36.1	10.0		
CADBPJ010000098.1	80	1174	+	BBJOLO_00762	42.2	9.3	PF01757.29|Acyl_transf_3	PFAM:PF01757.29
CADBPJ010000098.1	2274	3281	+	BBJOLO_00764	38.7	8.6	PF00535.33|Glycos_transf_2, PF13641.12|Glyco_tranf_2_3	PFAM:PF00535.33, PFAM:PF13641.12
CADBPJ010000098.1	3290	4255	+	BBJOLO_00765	38.1	6.7	PF00535.33|Glycos_transf_2, PF13641.12|Glyco_tranf_2_3	PFAM:PF00535.33, PFAM:PF13641.12
CADBPJ010000099.1	2451	3221	-	BBJOLO_00768	29.2	6.1	PF00326.27|Peptidase_S9, PF00561.26|Abhydrolase_1, PF07859.19|Abhydrolase_3, PF20434.5|BD-FAE	PFAM:PF00326.27, PFAM:PF00561.26, PFAM:PF07859.19, PFAM:PF20434.5
CADBPJ010000100.1	5	577	+	BBJOLO_00769	22.1	8.7		
CADBPJ010000100.1	570	1223	+	BBJOLO_00770	25.0	6.5		
CADBPJ010000101.1	231	422	+	BBJOLO_00771	6.8	9.2	PF13291.12|ACT_4	PFAM:PF13291.12
CADBPJ010000101.1	1746	2009	+	BBJOLO_00774	9.8	5.7		
CADBPJ010000101.1	8839	9054	-	BBJOLO_00781	7.8	4.8		
CADBPJ010000101.1	9618	10658	+	BBJOLO_00783	38.0	4.9		
CADBPJ010000102.1	273	605	+	BBJOLO_00786	12.7	4.9		
CADBPJ010000102.1	624	2009	+	BBJOLO_00787	51.5	6.3	PF05569.17|Peptidase_M56	PFAM:PF05569.17
CADBPJ010000102.1	2025	2759	+	BBJOLO_00788	27.0	4.8	PF00395.25|SLH	PFAM:PF00395.25
CADBPJ010000103.1	104	1501	-	BBJOLO_00789	51.6	4.4	PF00395.25|SLH, PF00639.27|Rotamase, PF13616.12|Rotamase_3	PFAM:PF00395.25, PFAM:PF00639.27, PFAM:PF13616.12
CADBPJ010000103.1	3939	4667	-	BBJOLO_00792	26.4	6.2	PF01520.23|Amidase_3	PFAM:PF01520.23
